订单号,成交时间,商品ID,商品名称,数量,单价,实付金额,运费,优惠金额,买家ID,退款状态,订单状态,备注
TB0000001,2026-08-04 03:18:28,1603476,数码家电-商品3476,1,299.89,299.89,0,0,100,未退款,已完成,
TB0000002,2026-08-04 13:45:49,2971043,食品生鲜-商品1043,1,34.61,34.61,0,0,100,未退款,已完成,
TB0000003,2026-08-06 05:10:58,598929,图书文创-商品8929,1,57.41,57.41,0,0,100,未退款,已完成,
TB0000004,2026-08-06 07:21:38,1046201,数码家电-商品6201,1,367.99,367.99,0,0,100,未退款,已完成,
TB0000005,2026-08-06 13:39:00,1606258,服饰鞋包-商品6258,1,114.65,114.65,0,0,100,未退款,已完成,
TB0000006,2026-08-06 13:42:10,4840649,家居日用-商品0649,1,97.96,97.96,0,0,100,未退款,已完成,
TB0000007,2026-08-06 13:53:02,251391,图书文创-商品1391,1,54.25,54.25,0,0,100,已退款,已退款,
TB0000008,2026-08-07 01:51:17,4075065,母婴玩具-商品5065,1,135.24,135.24,0,0,100,未退款,已完成,
TB0000009,2026-08-06 00:12:13,1695628,家居日用-商品5628,1,21.06,21.06,0,0,10008,未退款,已完成,
TB0000010,2026-08-09 00:40:42,4691562,运动户外-商品1562,1,395.68,395.68,0,0,10008,未退款,已完成,
TB0000011,2026-08-11 11:18:29,2628557,服饰鞋包-商品8557,1,177.5,177.5,0,0,10008,已退款,已退款,
TB0000012,2026-08-04 02:31:40,1993958,食品生鲜-商品3958,1,68.91,68.91,0,0,10009,未退款,已完成,
TB0000013,2026-08-05 02:30:18,4945859,图书文创-商品5859,1,20.07,20.07,0,0,10009,未退款,已完成,
TB0000014,2026-08-05 03:33:52,37314,美妆个护-商品7314,1,111.53,111.53,0,0,10009,已退款,已退款,
TB0000015,2026-08-06 15:42:37,2794153,家居日用-商品4153,1,37.48,37.48,0,0,10009,未退款,已完成,
TB0000015,2026-08-06 15:42:37,37314,美妆个护-商品7314,1,294.84,294.84,0,0,10009,未退款,已完成,
TB0000016,2026-08-06 17:01:47,4603878,服饰鞋包-商品3878,1,48.19,48.19,0,0,10009,未退款,已完成,
TB0000017,2026-08-08 14:43:30,1415565,美妆个护-商品5565,1,96.05,96.05,0,0,10009,未退款,已完成,
TB0000018,2026-08-11 08:58:37,3615676,图书文创-商品5676,1,28.54,28.54,0,0,10009,未退款,已完成,
TB0000019,2026-08-12 02:01:33,3557403,数码家电-商品7403,1,123.67,123.67,0,0,10009,未退款,已完成,
TB0000020,2026-08-12 13:52:54,4676019,运动户外-商品6019,1,66.55,66.55,0,0,10009,未退款,已完成,
TB0000021,2026-08-06 15:17:18,863731,服饰鞋包-商品3731,1,160.57,160.57,0,0,10020,未退款,已完成,
TB0000022,2026-08-10 04:09:17,3201805,家居日用-商品1805,1,145.29,145.29,0,0,10021,未退款,已完成,
TB0000023,2026-08-08 12:43:10,3233904,运动户外-商品3904,1,59.85,59.85,0,0,10024,已退款,已退款,
TB0000024,2026-08-09 13:07:51,4685098,食品生鲜-商品5098,1,56.0,56.0,0,0,10024,未退款,已完成,
TB0000025,2026-08-10 10:46:54,3052455,家居日用-商品2455,1,141.66,141.66,0,0,10024,未退款,已完成,
TB0000026,2026-08-10 11:42:17,1713881,食品生鲜-商品3881,1,64.79,64.79,0,0,10024,未退款,已完成,
TB0000027,2026-08-10 15:09:02,1212679,美妆个护-商品2679,1,277.49,277.49,0,0,10024,未退款,已完成,
TB0000028,2026-08-11 11:50:01,1660891,图书文创-商品0891,1,39.76,39.76,0,0,10024,未退款,已完成,
TB0000029,2026-08-05 06:01:16,1904046,美妆个护-商品4046,1,21.7,21.7,0,0,10027,未退款,已完成,
TB0000030,2026-08-05 13:01:13,1227391,家居日用-商品7391,1,38.52,38.52,0,0,10027,未退款,已完成,
TB0000031,2026-08-10 01:01:39,376658,家居日用-商品6658,1,94.32,94.32,0,0,10027,未退款,已完成,
TB0000032,2026-08-04 02:56:45,1079003,服饰鞋包-商品9003,1,194.18,194.18,0,0,10034,未退款,已完成,
TB0000033,2026-08-05 14:48:07,2212646,家居日用-商品2646,1,48.92,48.92,0,0,10034,未退款,已完成,
TB0000033,2026-08-05 14:48:07,2132850,服饰鞋包-商品2850,1,153.2,153.2,0,0,10034,未退款,已完成,
TB0000034,2026-08-12 12:18:37,2736714,美妆个护-商品6714,1,205.54,205.54,0,0,10034,未退款,已完成,
TB0000035,2026-08-04 21:26:19,4046577,服饰鞋包-商品6577,1,86.77,86.77,0,0,10035,未退款,已完成,
TB0000036,2026-08-05 12:34:14,1265317,服饰鞋包-商品5317,1,103.66,103.66,0,0,10035,未退款,已完成,
TB0000036,2026-08-05 12:34:14,3641558,服饰鞋包-商品1558,1,176.95,176.95,0,0,10035,未退款,已完成,
TB0000037,2026-08-06 14:51:11,1562036,母婴玩具-商品2036,1,41.11,41.11,0,0,10035,未退款,已完成,
TB0000038,2026-08-09 12:08:10,2976687,母婴玩具-商品6687,1,87.62,87.62,0,0,100002,未退款,已完成,
TB0000039,2026-08-10 00:33:35,4151948,运动户外-商品1948,1,243.93,243.93,0,0,100009,未退款,已完成,
TB0000040,2026-08-11 01:39:23,1329654,图书文创-商品9654,1,21.01,21.01,0,0,100009,未退款,已完成,
TB0000041,2026-08-04 16:14:27,341797,数码家电-商品1797,1,573.57,573.57,0,0,100030,未退款,已完成,
TB0000041,2026-08-04 16:14:27,2149396,数码家电-商品9396,1,157.95,157.95,0,0,100030,未退款,已完成,
TB0000041,2026-08-04 16:14:27,2074546,数码家电-商品4546,1,371.93,371.93,0,0,100030,未退款,已完成,
TB0000041,2026-08-04 16:14:27,2494086,数码家电-商品4086,1,261.77,261.77,0,0,100030,未退款,已完成,
TB0000042,2026-08-06 15:31:56,2076192,数码家电-商品6192,1,240.63,240.63,0,0,100059,未退款,已完成,
TB0000043,2026-08-04 05:15:01,4309220,美妆个护-商品9220,1,264.82,264.82,0,0,100068,未退款,已完成,
TB0000044,2026-08-05 16:07:04,1963003,服饰鞋包-商品3003,1,174.43,174.43,0,0,100068,未退款,已完成,
TB0000044,2026-08-05 16:07:04,1048137,运动户外-商品8137,1,140.02,140.02,0,0,100068,未退款,已完成,
TB0000045,2026-08-09 06:00:11,784642,母婴玩具-商品4642,1,175.26,175.26,0,0,100068,已退款,已退款,
TB0000046,2026-08-08 17:45:13,551325,家居日用-商品1325,1,112.31,112.31,0,0,100075,未退款,已完成,
TB0000047,2026-08-09 01:13:40,551325,家居日用-商品1325,1,74.92,74.92,0,0,100075,未退款,已完成,
TB0000048,2026-08-05 23:54:16,4468878,图书文创-商品8878,1,35.45,35.45,0,0,100088,未退款,已完成,
TB0000049,2026-08-11 04:44:29,3192110,图书文创-商品2110,1,50.54,50.54,0,0,100088,未退款,已完成,
TB0000050,2026-08-07 11:09:19,3021166,母婴玩具-商品1166,1,105.32,105.32,0,0,100091,未退款,已完成,
TB0000051,2026-08-12 05:31:35,4583271,母婴玩具-商品3271,1,137.58,137.58,0,0,100091,未退款,已完成,
TB0000052,2026-08-12 05:42:08,3983569,食品生鲜-商品3569,1,39.92,39.92,0,0,100091,未退款,已完成,
TB0000053,2026-08-08 06:14:47,1788539,美妆个护-商品8539,1,36.55,36.55,0,0,100095,未退款,已完成,
TB0000054,2026-08-04 02:22:53,3033982,家居日用-商品3982,1,17.76,17.76,0,0,100101,未退款,已完成,
TB0000055,2026-08-04 02:30:41,5008412,美妆个护-商品8412,1,204.4,204.4,0,0,100101,未退款,已完成,
TB0000056,2026-08-04 05:22:01,4172922,美妆个护-商品2922,1,247.12,247.12,0,0,100101,未退款,已完成,
TB0000057,2026-08-04 08:08:19,4263046,家居日用-商品3046,1,18.96,18.96,0,0,100101,未退款,已完成,
TB0000058,2026-08-04 08:13:14,2238186,母婴玩具-商品8186,1,165.94,165.94,0,0,100101,未退款,已完成,
TB0000058,2026-08-04 08:13:14,456858,运动户外-商品6858,1,271.97,271.97,0,0,100101,未退款,已完成,
TB0000059,2026-08-05 05:40:31,3973748,美妆个护-商品3748,1,69.14,69.14,0,0,100101,未退款,已完成,
TB0000060,2026-08-05 08:10:28,1265691,美妆个护-商品5691,1,57.68,57.68,0,0,100101,未退款,已完成,
TB0000061,2026-08-06 00:35:45,3015146,美妆个护-商品5146,1,35.15,35.15,0,0,100101,未退款,已完成,
TB0000062,2026-08-06 02:17:05,1182441,家居日用-商品2441,1,33.62,33.62,0,0,100101,未退款,已完成,
TB0000063,2026-08-06 04:46:38,3506728,家居日用-商品6728,1,64.78,64.78,0,0,100101,未退款,已完成,
TB0000064,2026-08-06 07:15:35,4423176,服饰鞋包-商品3176,1,160.76,160.76,0,0,100101,未退款,已完成,
TB0000065,2026-08-07 01:34:15,2441473,图书文创-商品1473,1,40.91,40.91,0,0,100101,未退款,已完成,
TB0000066,2026-08-07 13:15:00,3792151,图书文创-商品2151,1,65.71,65.71,0,0,100101,未退款,已完成,
TB0000067,2026-08-07 13:29:25,4419446,美妆个护-商品9446,1,114.25,114.25,0,0,100101,未退款,已完成,
TB0000068,2026-08-08 04:58:49,980372,数码家电-商品0372,1,627.94,627.94,0,0,100101,未退款,已完成,
TB0000069,2026-08-08 08:39:43,509135,家居日用-商品9135,1,42.57,42.57,0,0,100101,未退款,已完成,
TB0000070,2026-08-08 08:43:28,756251,数码家电-商品6251,1,159.56,159.56,0,0,100101,未退款,已完成,
TB0000070,2026-08-08 08:43:28,4865852,图书文创-商品5852,1,24.41,24.41,0,0,100101,未退款,已完成,
TB0000071,2026-08-09 01:20:38,2621875,美妆个护-商品1875,1,167.57,167.57,0,0,100101,未退款,已完成,
TB0000072,2026-08-09 02:32:58,3147746,母婴玩具-商品7746,1,152.02,152.02,0,0,100101,未退款,已完成,
TB0000073,2026-08-09 07:17:22,4302073,家居日用-商品2073,1,120.12,120.12,0,0,100101,未退款,已完成,
TB0000074,2026-08-09 11:42:33,2331391,运动户外-商品1391,1,173.13,173.13,0,0,100101,未退款,已完成,
TB0000075,2026-08-10 01:55:33,3935808,美妆个护-商品5808,1,116.4,116.4,0,0,100101,未退款,已完成,
TB0000076,2026-08-10 12:09:27,2955350,运动户外-商品5350,1,78.04,78.04,0,0,100101,未退款,已完成,
TB0000077,2026-08-11 07:11:35,4736935,图书文创-商品6935,1,46.02,46.02,0,0,100101,未退款,已完成,
TB0000078,2026-08-11 07:23:04,3081621,美妆个护-商品1621,1,45.01,45.01,0,0,100101,未退款,已完成,
TB0000079,2026-08-12 05:38:02,1853559,运动户外-商品3559,1,100.01,100.01,0,0,100101,未退款,已完成,
TB0000080,2026-08-11 09:26:29,3146083,数码家电-商品6083,1,655.96,655.96,0,0,100103,未退款,已完成,
TB0000081,2026-08-11 14:43:44,1844866,服饰鞋包-商品4866,1,116.08,116.08,0,0,100105,未退款,已完成,
